file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\concurrent\TimedSemaphoreTest.java,org.apache.commons.lang3.concurrent.TimedSemaphoreTest$SemaphoreThread,innerclass,1,1,0,1,5,2,0,4,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,4,0,1,25,0,1,0,1,0,0,1,5,0,5,3,0,0,0,53,26,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\reflect\TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,class,5,6,1,5,7,1,0,11,0,0.53333336,0.7,1.0,5,0,4,0,1,0,5,0,1,0,3,1,1,2,0,0,3,0,6,28,6,0,1,0,1,3,3,4,1,4,1,0,0,0,123,1025,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,innerclass,3,3,0,3,6,3,0,10,0,0.0,1.0,1.0,3,0,1,0,0,2,3,0,0,0,3,0,0,2,0,1,3,0,2,28,1,0,2,0,0,7,2,7,3,6,1,0,0,0,49,26,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableBiConsumer.java,org.apache.commons.lang3.function.FailableBiConsumer,interface,4,11,7,4,3,1,0,3,3,0.6666667,0.0,0.0,3,1,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,1,17,2,0,0,0,0,2,0,1,0,5,1,0,0,2,51,1,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\reflect\ConstructorUtilsTest.java,org.apache.commons.lang3.reflect.ConstructorUtilsTest$SubClass,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$Rule,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\ClassUtilsTest.java,org.apache.commons.lang3.ClassUtilsTest$12Named,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\ValidateTest.java,org.apache.commons.lang3.ValidateTest$NotBlank$WithMessage,innerclass,2,2,0,2,8,1,0,6,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,20,0,4,0,4,0,0,0,4,29,16,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\test\java\org\apache\commons\lang3\reflect\TypeUtilsTest.java,org.apache.commons.lang3.reflect.TypeUtilsTest$And,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Users\Owner\Documents\Object_Oriented_Development\Week_5\Projects\Apache_Commons_Lang\commons-lang-master\src\main\java\org\apache\commons\lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,class,19,27,8,19,83,1,0,56,156,0.7297298,0.43939394,0.43939394,37,11,31,4,0,2,33,0,0,0,5,3,0,5,0,0,4,0,29,272,34,11,17,1,4,4,11,33,31,11,3,0,0,0,294,1,0
